;1;0.803;2.141881;2.944881
1;2;1.606;0;1.606
2;3;2.409;0;2.409
3;4;3.212;0.306979;3.518979
4;5;4.015;0.164037;4.179037
5;6;4.818;0.184714;5.002714
6;7;5.621;0.676912;6.297912
7;8;6.424;0.730601;7.154601
8;9;7.227;2.694618;9.921618
9;10;8.030;0;8.030
10;11;8.833;0;8.833
11;12;9.636;0;9.636
12;13;10.439;0.854674;11.293674
13;14;11.242;0;11.242
14;15;12.045;1.11536;13.16036
15;16;12.848;0;12.848
16;17;13.651;0.855588;14.506588
17;18;14.454;0;14.454
18;19;15.257;1.111538;16.368538
19;20;16.060;0;16.???
20;21;16.863;2.62477;19.48777
21;22;17.666;0;17.666
22;23;18.469;0;18.469
23;24;19.272;0;19.272
24;25;20.075;0.006799;20.081799
25;26;20.878;0.090837;20.968837
26;27;21.681;0.28638;21.96738
27;28;22.484;0.862235;23.346235
28;29;23.287;0;23.287
29;30;24.090;1.339584;25.429584
30;31;24.893;0;24.893
31;32;25.696;1.660291;27.356291
32;33;26.499;0;26.499
33;34;27.302;0;27.302
34;35;28.105;2.69765;30.80265
35;36;28.908;0;28.908
36;37;29.711;0;29.711
37;38;30.514;0;30.514
38;39;31.317;1.038107;32.355107
39;40;32.12;0;32.12
40;41;32.923;0.830146;33.753146
41;42;33.726;0;33.726
42;43;34.529;1.020107;35.549107
43;44;35.332;0;35.332
44;45;36.135;0.508764;36.643764
45;46;36.938;0.317925;37.255925
46;47;37.741;0.467461;38.208461
47;48;38.544;1.055837;39.599837
48;49;39.347;0;39.347
49;50;40.15;4.131097;44.281097
50;51;40.953;0;40.953
51;52;41.756;0;41.756
52;53;42.559;0;42.559
53;54;43.362;0;43.362
54;55;44.165;0;44.165
55;56;44.968;0.911793;45.879793
56;57;45.771;0;45.771
57;58;46.574;1.26277;47.83677
58;59;47.377;0;47.377
59;60;48.18;0.151277;48.331277
60;61;48.983;0.021966;49.004966
61;62;49.786;1.300477;51.086477
62;63;50.589;0;50.589
63;64;51.392;1.88904;53.28104
64;65;52.195;0;52.195
65;66;52.998;0;52.998
66;67;53.801;0.020166;53.821166
