;0;3;0.03;3.394831;0.067187
1;1;5;0.05;1.058178;0.020942
2;2;3;0.03;3.581364;0.070878
3;3;2;0.02;1.83565;0.036329
4;4;1;0.01;0.392407;0.007766
5;5;2;0.02;1.053007;0.02084
6;6;3;0.03;1.903206;0.037666
7;7;3;0.03;2.869528;0.056791
8;8;2;0.02;1.224185;0.024228
9;9;2;0.02;0.635273;0.012573
10;10;2;0.02;1.653426;0.032723
11;11;1;0.01;0.081316;0.001609
12;12;2;0.02;0.977527;0.019346
13;13;3;0.03;0.973804;0.019272
14;14;3;0.03;0.68607;0.013578
15;15;4;0.04;1.488015;0.029449
16;16;9;0.09;2.37963;0.047095
17;17;13;0.13;7.785454;0.154081
18;18;12;0.12;4.169506;0.082518
19;19;9;0.09;4.637433;0.091779
20;20;4;0.04;3.046091;0.060285
21;21;5;0.05;1.083532;0.021444
22;22;6;0.06;2.910487;0.057601
23;23;1;0.01;0.708333;0.014019
